field_id,forecast_step,forecast_ET,forecast_lower_10,forecast_upper_90
0,1,38.72538757324219,29.39856719970703,47.506771087646484
0,2,53.72465515136719,26.125999450683594,64.3604965209961
0,3,84.26861572265625,72.54191589355469,94.4681167602539
0,4,19.635406494140625,15.217440605163574,47.01588821411133
0,5,44.45237731933594,33.2165641784668,50.77933883666992
0,6,53.72465515136719,35.99824523925781,93.48634338378906
0,7,85.35946655273438,76.19628143310547,127.63014221191406
0,8,45.815948486328125,20.67171859741211,51.87019729614258
0,9,45.815948486328125,29.943994522094727,57.32447814941406
0,10,106.90387725830078,49.797569274902344,130.9027099609375
0,11,139.35684204101562,74.55999755859375,183.2637939453125
0,12,29.180397033691406,16.908266067504883,40.798011779785156
1,1,34.81602478027344,25.90658187866211,42.471221923828125
1,2,54.4946403503418,46.233943939208984,62.71208953857422
1,3,81.09321594238281,70.92953491210938,91.25689697265625
1,4,22.92234992980957,15.56989860534668,30.707300186157227
1,5,60.549598693847656,51.38066101074219,70.49703979492188
1,6,93.85188293457031,73.4380111694336,106.39430236816406
1,7,105.0968017578125,91.99214172363281,115.47673797607422
1,8,22.057353973388672,15.094151496887207,30.318050384521484
1,9,67.90205383300781,57.52212142944336,73.0920181274414
1,10,92.98689270019531,83.86119079589844,100.8150863647461
1,11,112.01676177978516,102.02607727050781,118.07172393798828
1,12,38.059749603271484,28.025815963745117,45.49870300292969
2,1,34.623294830322266,30.6090030670166,39.64116287231445
2,2,58.20728302001953,46.16439437866211,67.28962707519531
2,3,120.4288558959961,109.69062042236328,130.9663848876953
2,4,21.576839447021484,16.05718231201172,28.15024757385254
2,5,34.12150955200195,28.60185432434082,39.741519927978516
2,6,48.924224853515625,42.15010070800781,58.20728302001953
2,7,102.3645248413086,91.27503967285156,110.94508361816406
2,8,47.16796875,40.042598724365234,53.691200256347656
2,9,44.157249450683594,36.63044738769531,50.2288703918457
2,10,111.39669036865234,104.87345886230469,118.42170715332031
2,11,181.89776611328125,171.05914306640625,192.68617248535156
2,12,15.555394172668457,10.989133834838867,20.57326316833496
3,1,44.088619232177734,36.578609466552734,52.38325500488281
3,2,72.85831451416016,65.01203155517578,79.99468994140625
3,3,68.56153869628906,60.528446197509766,75.51110076904297
3,4,14.384847640991211,8.929814338684082,22.417943954467773
3,5,44.649070739746094,28.321334838867188,54.21405792236328
3,6,72.48468017578125,60.78998947143555,85.56181335449219
3,7,73.23194885253906,65.34830474853516,83.0211181640625
3,8,18.121170043945312,11.881510734558105,25.033369064331055
3,9,58.099830627441406,48.53484344482422,68.78572082519531
3,10,92.84764099121094,75.39901733398438,109.51165008544922
3,11,84.81454467773438,70.87805938720703,92.66082763671875
3,12,17.74753761291504,13.077134132385254,24.697099685668945
4,1,23.24457550048828,19.370481491088867,28.77899932861328
4,2,42.615055084228516,37.02528762817383,47.706722259521484
4,3,76.65174865722656,69.12493896484375,83.56978607177734
4,4,19.92392349243164,15.496384620666504,23.798019409179688
4,5,30.16260528564453,23.798019409179688,39.40509033203125
4,6,31.54621124267578,27.6721134185791,39.34974670410156
4,7,92.97830200195312,84.62132263183594,99.61961364746094
4,8,19.647201538085938,15.496384620666504,33.31722640991211
4,9,43.72193908691406,34.258079528808594,51.525474548339844
4,10,49.25636291503906,39.737159729003906,91.92676544189453
4,11,109.58157348632812,95.63482666015625,156.67950439453125
4,12,48.979644775390625,21.473560333251953,55.3442268371582
5,1,26.56757354736328,18.88665199279785,33.669795989990234
5,2,51.819923400878906,45.76987838745117,62.13129425048828
5,3,71.02222442626953,59.2904052734375,92.06584167480469
5,4,17.624034881591797,12.10008430480957,22.09580421447754
5,5,54.713417053222656,46.29597091674805,63.183475494384766
5,6,112.58338165283203,103.11375427246094,121.0008316040039
5,7,148.094482421875,137.25701904296875,155.72280883789062
5,8,23.147985458374023,17.36098861694336,31.039342880249023
5,9,65.76132202148438,56.817779541015625,73.65267181396484
5,10,102.06156158447266,93.06541442871094,111.16293334960938
5,11,134.15309143066406,125.63042449951172,141.5709686279297
5,12,48.40032958984375,39.930274963378906,54.18732452392578
6,1,27.615537643432617,23.825170516967773,33.57183074951172
6,2,47.65034103393555,42.72285842895508,54.20226287841797
6,3,78.24402618408203,70.39254760742188,88.80290985107422
6,4,23.825170516967773,18.410358428955078,27.128204345703125
6,5,44.94293212890625,31.35175895690918,59.075592041015625
6,6,43.047752380371094,31.947385787963867,127.84368896484375
6,7,101.5277099609375,91.99764251708984,153.34744262695312
6,8,19.493322372436523,13.482881546020508,27.615537643432617
6,9,51.16996383666992,40.55693435668945,75.86150360107422
6,10,112.89881134033203,46.56737518310547,127.30220794677734
6,11,127.78954315185547,100.71549224853516,145.22523498535156
6,12,47.65034103393555,35.14212417602539,53.66078186035156
7,1,28.951595306396484,22.931501388549805,35.890785217285156
7,2,42.27851867675781,35.84482955932617,52.848148345947266
7,3,65.02619934082031,53.261741638183594,87.86579132080078
7,4,15.854446411132812,10.11008071899414,23.482959747314453
7,5,44.34648895263672,34.92573165893555,52.89410400390625
7,6,91.45027923583984,48.06884002685547,104.3176498413086
7,7,122.46984100341797,82.58097839355469,135.10743713378906
7,8,21.139259338378906,13.786474227905273,31.70888900756836
7,9,54.45656967163086,41.3134651184082,64.47473907470703
7,10,89.6120834350586,78.12335205078125,101.19271850585938
7,11,123.61871337890625,110.659423828125,131.93655395507812
7,12,35.615055084228516,19.301063537597656,43.74907684326172
8,1,28.57683563232422,19.570802688598633,41.046730041503906
8,2,45.0301628112793,39.25706481933594,58.30828857421875
8,3,87.17378234863281,73.8956527709961,111.478515625
8,4,24.247011184692383,16.741985321044922,34.11901092529297
8,5,44.74150848388672,33.483970642089844,53.68981170654297
8,6,46.18478775024414,35.21590042114258,61.82988357543945
8,7,114.88465118408203,101.02921295166016,133.3585662841797
8,8,28.57683563232422,20.725421905517578,40.98899841308594
8,9,47.91671371459961,38.564292907714844,58.30828857421875
8,10,54.84442901611328,41.508575439453125,91.2149429321289
8,11,120.08043670654297,104.43534851074219,150.9665069580078
8,12,30.88607406616211,16.164674758911133,40.411685943603516
9,1,33.583045959472656,25.681154251098633,43.509803771972656
9,2,60.0050048828125,49.33744812011719,68.69708251953125
9,3,97.53900146484375,81.48827362060547,110.23140716552734
9,4,20.001667022705078,15.309918403625488,25.236671447753906
